[WARN] 2020-08-16 08:30:14,404 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT * FROM ALL_TABLES WHERE OWNER LIKE '%TOMEK%'
[WARN] 2020-08-16 08:30:15,924 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKA
[WARN] 2020-08-16 08:30:15,924 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKA
[WARN] 2020-08-16 08:30:15,926 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-16 08:30:15,926 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-16 08:30:15,926 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-16 08:30:15,927 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-16 08:30:15,927 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-16 08:30:15,927 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-16 08:30:15,927 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-16 08:30:15,929 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-16 08:30:15,929 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-16 08:30:15,929 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-16 08:30:15,929 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-16 08:30:15,929 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,930 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-16 08:30:15,932 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
