[DEBUG] 2020-07-31 22:12:07,972 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is a debug log message
[INFO] 2020-07-31 22:12:07,974 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is an information log message
[WARN] 2020-07-31 22:12:07,974 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is a warning log message
[DEBUG] 2020-07-31 22:12:16,919 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is a debug log message
[INFO] 2020-07-31 22:12:16,920 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is an information log message
[WARN] 2020-07-31 22:12:16,920 pl.venustus.OracleDataModify.Service.DynamicRollingLogFile main - This is a warning log message
[DEBUG] 2020-07-31 22:18:46,915 pl.venustus.OracleDataModify.Service.OracleServices main - This is a debug log message
[INFO] 2020-07-31 22:18:46,917 pl.venustus.OracleDataModify.Service.OracleServices main - This is an information log message
[WARN] 2020-07-31 22:18:46,917 pl.venustus.OracleDataModify.Service.OracleServices main - This is a warning log message
[INFO] 2020-07-31 22:29:45,648 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT * FROM ALL_TABLES WHERE OWNER LIKE '%TOMEK%'
[INFO] 2020-07-31 22:36:03,745 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT * FROM ALL_TABLES WHERE OWNER LIKE '%TOMEK%'
[INFO] 2020-07-31 22:36:03,745 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT * FROM ALL_TABLES WHERE OWNER LIKE '%TOMEK%'
